iter	RMSE
285	0.2810963962
286	0.2809721238
287	0.2809438178
288	0.2808659502
289	0.2807381762
290	0.2806623656
291	0.2804668326
292	0.280383479
293	0.2801779514
294	0.2801131876
295	0.2799933526
296	0.2799215562
297	0.2797956282
298	0.2796279263
299	0.279446357
300	0.2793918664
301	0.2791726735
302	0.2790379788
303	0.2789853467
304	0.2788935155
305	0.2787481045
306	0.27864374
307	0.2785392657
308	0.2784304421
309	0.2782397133
310	0.2780949444
311	0.2780491461
312	0.2779795174
313	0.2778125362
314	0.2776613975
315	0.2775753238
316	0.2774774169
317	0.2773894006
318	0.2771577898
319	0.277103479
320	0.2770300647
321	0.2769405626
322	0.2768622173
323	0.2767981239
324	0.2765304099
325	0.2764572559
326	0.2763076098
327	0.2761593619
328	0.2760095747
329	0.2759519318
330	0.2758573216
331	0.2756296977
332	0.2754608972
333	0.275328745
334	0.2752353338
335	0.2752088636
336	0.275011193
337	0.2748706789
338	0.2748289106
339	0.2747173189
340	0.2746736563
341	0.2746258835
342	0.274594425
343	0.2745129755
344	0.2743777303
345	0.2742374825
346	0.2741008107
347	0.273947069
348	0.2739108836
349	0.2736464617
350	0.2735610692
351	0.2734775157
352	0.2734230745
353	0.2733600812
354	0.273322074
355	0.2732356467
356	0.2731311443
357	0.2728549286
358	0.2728172997
359	0.2725887593
360	0.2725172994
361	0.2724079802
362	0.2723502
363	0.2722586278
364	0.2722275998
365	0.2721582933
366	0.2720535092
367	0.2719896148
368	0.2718794525
369	0.2718243537
370	0.2716888613
371	0.2716295246
372	0.2715917409
373	0.2715358338
374	0.2713075708
375	0.2711890233
376	0.2710264907
377	0.270927138
378	0.2708370994
379	0.2706100921
380	0.2704905432
381	0.2703353461
382	0.2703166784
383	0.2702220156
384	0.2701848917
385	0.2701334466
386	0.2700572977
387	0.2699313379
388	0.2698401551
389	0.2698057095
390	0.2696990289
391	0.2695809166
392	0.2695797342
393	0.2695317385
394	0.2695134032
395	0.2694860161
396	0.2694339331
397	0.2693344604
398	0.2693084809
399	0.2692792606
400	0.2691866501
401	0.2691543049
402	0.2690153969
403	0.2689859245
404	0.2689212567
405	0.2688614345
406	0.2688383743
407	0.268673811
408	0.2686010422
409	0.2685703908
410	0.2685396209
411	0.2685229813
412	0.2684938984
413	0.2683742812
414	0.2681735139
415	0.2681358479
416	0.2680657822
417	0.2679566024
418	0.2677922386
419	0.2677912788
420	0.2677478817
421	0.2677324907
422	0.2676594973
423	0.2675061953
424	0.267419181
425	0.2673915208
426	0.267190808
427	0.2671024194
428	0.2670600636
429	0.2669915122
430	0.2668257197
431	0.2668058737
432	0.2667838809
433	0.2666263118
434	0.2664680502
435	0.2664093791
436	0.2663752906
437	0.2662224468
438	0.2662034381
439	0.2661382166
440	0.2660616664
441	0.2660369474
442	0.2660120649
443	0.2659755717
444	0.2658868404
445	0.2658860677
446	0.2658613471
447	0.26576957
448	0.26575627
449	0.2656824016
450	0.2656272226
451	0.2655995007
452	0.2655273123
453	0.2654456133
454	0.2652716986
455	0.2652355111
456	0.2652349205
457	0.2652026161
458	0.2651920612
459	0.2651625643
460	0.2650325081
461	0.264979636
462	0.2649790509
463	0.2649059266
464	0.2648485169
465	0.2647161766
466	0.2645655769
467	0.2645099893
468	0.2644477507
469	0.2644217783
470	0.2643913301
471	0.2642333637
472	0.2641691814
473	0.2641199705
474	0.2639977239
475	0.2638776216
476	0.263866636
477	0.2637914195
478	0.2637417807
479	0.2636413327
480	0.2635313952
481	0.2635054418
482	0.263469037
483	0.2634089752
484	0.2633169219
485	0.2631658422
486	0.2631185672
487	0.263054891
488	0.2628911228
489	0.2628430137
490	0.2627920999
491	0.262716957
492	0.2625939772
493	0.2624614316
494	0.2624471408
495	0.2624121382
496	0.2623230564
497	0.2621774594
498	0.2621016842
499	0.2620853244
500	0.2619527945
501	0.261838286
502	0.2617360297
503	0.2617264902
504	0.2616696417
505	0.2616438802
506	0.2614975843
507	0.2614579104
508	0.2613905164
509	0.2613816854
510	0.2613017065
511	0.2611939438
512	0.2611296669
513	0.2611125108
514	0.2610499023
515	0.2609472278
516	0.2608430255
517	0.2608154777
518	0.260711818
519	0.260685413
520	0.2606058917
521	0.2605704053
522	0.260563159
523	0.2605229275
524	0.2604453274
525	0.2603965169
526	0.2603381343
527	0.2602568481
528	0.2602105741
529	0.2601585819
530	0.2600582793
531	0.2600412656
532	0.2599389647
533	0.2599279769
534	0.2598781372
535	0.2598398464
536	0.2597922929
537	0.2597674109
538	0.2596464362
539	0.2595324334
540	0.2594999591
541	0.2594680553
542	0.2593353011
543	0.2592699182
544	0.2592694518
545	0.259226004
546	0.2591874063
547	0.2590963761
548	0.2590389377
549	0.2589730301
550	0.2589218784
551	0.2588612341
552	0.2588093676
553	0.2587806872
554	0.2587625485
555	0.2586396076
556	0.2585153675
557	0.2584968496
558	0.2584594767
559	0.2584013456
560	0.2583886507
561	0.2582711481
562	0.2582630405
563	0.2582628353
564	0.2581726464
565	0.2581541792
566	0.2581446832
567	0.2580862805
568	0.2580006194
569	0.2579534208
570	0.2578549578
571	0.2577753078
572	0.2577393084
573	0.257700063
574	0.2576619204
575	0.257593006
576	0.2575160181
577	0.2574494019
578	0.2573453551
579	0.2572819607
580	0.2572209927
581	0.2572108648
582	0.2570464813
583	0.2570183783
584	0.2569961644
585	0.2569620601
586	0.2569031235
587	0.2568515857
588	0.2568514063
589	0.2568006883
590	0.2566984005
591	0.2566398997
592	0.2565599509
593	0.2565196901
594	0.2564315061
595	0.2564107238
596	0.2563727039
597	0.2563372467
598	0.2562620832
599	0.2561769773
600	0.256173106
601	0.2561612562
602	0.2560826023
603	0.2560539675
604	0.2559633348
605	0.2559317033
606	0.2559021583
607	0.2558719918
608	0.2558339113
609	0.2558038819
610	0.2557284712
611	0.2556841591
612	0.2556591403
613	0.2556480227
614	0.2556279456
615	0.2555891317
616	0.2555682175
617	0.2555577243
618	0.2554613429
619	0.2554550421
620	0.2554515899
621	0.255382304
622	0.2553529122
623	0.255286497
624	0.2552639728
625	0.2552179476
626	0.2551436919
627	0.2551128511
628	0.2550482358
629	0.2550098572
630	0.2549286538
631	0.2548336639
632	0.2548197819
633	0.2547263909
634	0.2546806034
635	0.2546390996
636	0.2546145257
637	0.2545801468
638	0.2545035429
639	0.2544210267
640	0.2544002319
641	0.2543506135
642	0.2542761262
643	0.2541823781
644	0.2541620942
645	0.2541212464
646	0.2540496241
647	0.2539816758
648	0.2539391821
649	0.2538606414
650	0.2538570088
651	0.2538437838
652	0.2538189982
653	0.2537878943
654	0.2537849639
655	0.2537650854
656	0.2536836384
657	0.2536200708
658	0.253585868
659	0.2535726782
660	0.2535004841
661	0.2534213984
662	0.2533926024
663	0.2533298981
664	0.253264314
665	0.2532068188
666	0.2531379806
667	0.253079598
668	0.2530414941
669	0.2530076492
670	0.2529780457
671	0.2529516789
672	0.2529174374
673	0.252863968
674	0.2527996946
675	0.2527366466
676	0.252697334
677	0.2526777171
678	0.252666951
679	0.252613132
680	0.2525662304
681	0.2525413759
682	0.2525237592
683	0.2524236211
684	0.252373979
685	0.2523110046
686	0.2522937704
687	0.2522292449
688	0.2521781692
689	0.2521525214
690	0.2521387046
691	0.2520831247
692	0.2520597893
693	0.2520063071
694	0.2519335901
695	0.2519006827
696	0.25188456
697	0.2518676799
698	0.2518252699
699	0.2518142097
700	0.2517595594
701	0.2517340001
702	0.2516850394
703	0.2516673973
704	0.2515866236
705	0.2515541109
706	0.2515310047
707	0.2514945146
708	0.2514546457
709	0.2514504004
710	0.251433829
711	0.25141605
712	0.2513655833
713	0.2512954011
714	0.2512757745
715	0.2512674702
716	0.2512110425
717	0.2511565352
718	0.2511425056
719	0.2510598771
720	0.2510491537
721	0.25101765
722	0.2509871984
723	0.2509660343
724	0.2509528891
725	0.2509310449
726	0.2509243066
727	0.2508764121
728	0.2508651293
729	0.2508343352
730	0.2507555933
731	0.2507103641
732	0.2506848881
733	0.2505837458
734	0.2505046635
735	0.2504992318
736	0.2504847114
737	0.2504329066
738	0.2503843571
739	0.2503397222
740	0.2502945801
741	0.2502866292
742	0.2502150371
743	0.2501798006
744	0.2501635974
745	0.2501400594
746	0.2501217547
747	0.2501119732
748	0.2501049432
749	0.2500575636
750	0.2500142307
751	0.2499654275
752	0.2498986014
753	0.2498825538
754	0.249880674
755	0.2498694533
756	0.249810441
757	0.249784356
758	0.2497654687
759	0.2497284004
760	0.2496947458
761	0.2496292166
762	0.2495635736
763	0.2495571048
764	0.2495317811
765	0.2494909422
766	0.249479942
767	0.2494489525
768	0.2494355676
769	0.2494254286
770	0.2493600705
771	0.2493442085
772	0.2493297732
773	0.2493214194
774	0.249282779
775	0.2492388351
776	0.249217959
777	0.2492141899
778	0.2492080446
779	0.2491841355
780	0.2491403281
781	0.2490796987
782	0.2490741047
783	0.2490231863
784	0.2489866294
785	0.2489536168
786	0.2489405207
787	0.248927443
788	0.2489092387
789	0.248882828
790	0.2488417426
791	0.2488069248
792	0.2487851042
793	0.2487631509
794	0.2487260061
795	0.2487091205
796	0.2486853189
797	0.2486747408
798	0.248640462
799	0.248602678
800	0.2485461675
801	0.2485115855
802	0.2485035098
803	0.2484911824
804	0.2484769172
805	0.2484661147
806	0.248447071
807	0.2484205788
808	0.2484189811
809	0.2484060454
810	0.2483918789
811	0.2483714693
812	0.248353982
813	0.2483444139
814	0.2483333596
815	0.2483302205
816	0.2483218568
817	0.2482671438
818	0.2482242639
819	0.2481649677
820	0.2481439571
821	0.2480925379
822	0.2480897978
823	0.2480325076
824	0.2479954162
825	0.2479922745
826	0.2479629582
827	0.2479606305
828	0.247941969
829	0.2479209004
830	0.2478844458
831	0.2478502471
832	0.2478501947
833	0.2478223621
834	0.2478054655
835	0.2477907374
836	0.2477684074
837	0.2477136663
838	0.2477091411
839	0.2477074241
840	0.2476382628
841	0.2476144815
842	0.2476065412
843	0.2475742323
844	0.2475602992
845	0.24753379
846	0.2474968048
847	0.2474849671
848	0.2474560055
849	0.2474284313
850	0.2473885902
851	0.2473736189
852	0.2473576482
853	0.2473231303
854	0.2473128609
855	0.2473072837
856	0.2472998154
857	0.2472869366
858	0.2472535552
859	0.2472310826
860	0.2472054336
861	0.247192397
862	0.2471696178
863	0.2471589231
864	0.2471413605
865	0.2471091022
866	0.2470895454
867	0.2470814406
868	0.2470640457
869	0.247056806
870	0.2470257008
871	0.2470143893
872	0.2469805949
873	0.2469657074
874	0.2469625781
875	0.2469176639
876	0.2468929197
877	0.2468528114
878	0.246839577
879	0.2468094336
880	0.2467498066
881	0.246728245
882	0.2467229861
883	0.2467035518
884	0.2466819326
885	0.2466672993
886	0.2466376556
887	0.2466213781
888	0.2465986067
889	0.2465709516
890	0.2465430416
891	0.2465363173
892	0.2465216048
893	0.246495149
894	0.2464860245
895	0.2464730616
896	0.2464698288
897	0.2464450023
898	0.2464383423
899	0.2464333694
900	0.2464044036
901	0.246401658
902	0.2463925165
903	0.246385519
904	0.2463718479
905	0.246367858
906	0.2463662023
907	0.2463612461
908	0.2463573618
909	0.246344162
910	0.2463112088
911	0.2462843116
912	0.2462549963
913	0.2462392437
914	0.246183346
915	0.2461573373
916	0.2461201002
917	0.2460965295
918	0.2460559903
919	0.2459975259
920	0.2459676091
921	0.2459487628
922	0.2459438751
923	0.2459237908
924	0.2458950538
925	0.2458666651
926	0.2458426754
927	0.2458298683
928	0.2457933345
929	0.2457655539
930	0.2457441614
931	0.2457002119
932	0.2456938754
933	0.2456900547
934	0.2456375668
935	0.2455923691
936	0.2455683261
937	0.2455645307
938	0.2455427527
939	0.2455380519
940	0.2455160022
941	0.2454933388
942	0.2454898448
943	0.2454876884
944	0.2454762575
945	0.2454694479
946	0.2454600996
947	0.2454568275
948	0.2454287782
949	0.2453888179
950	0.2453817717
951	0.2453474455
952	0.245342028
953	0.2453303689
954	0.2453021203
955	0.2452843715
956	0.2452779508
957	0.2452712725
958	0.2452615982
959	0.2452290789
960	0.2452066721
961	0.2452035671
962	0.2451860344
963	0.2451791907
964	0.2451572912
965	0.2451396061
966	0.2451055188
967	0.2450773582
968	0.2450549005
969	0.2450402043
970	0.245031596
971	0.2450206971
972	0.2450133838
973	0.2450042316
974	0.2449962307
975	0.2449912032
976	0.2449900845
977	0.2449739939
978	0.2449656827
979	0.2449506702
980	0.244928076
981	0.2448990712
982	0.2448843667
983	0.2448763917
984	0.2448632354
985	0.2448609026
986	0.2448539032
987	0.2448425111
988	0.2448415177
989	0.2448353819
990	0.2448286541
991	0.2448207524
992	0.2448191054
993	0.2448131379
994	0.2448095943
995	0.2447901049
996	0.2447777021
997	0.2447518375
998	0.2447286081
999	0.2447183972
