"name"	"price"	"url"
"Смартфон iPhone 15 Pro Max 256 ГБ Blue Titanium"	125952.0	"https://www.wildberries.ru/catalog/197700205/detail.aspx"
"Смартфон iPhone 15 Pro Max 1TB Natural Titanium"	194839.0	"https://www.wildberries.ru/catalog/183888603/detail.aspx"
"Смартфон iPhone 15 Pro Max 1TB MU713J A Natural"	186475.0	"https://www.wildberries.ru/catalog/196624095/detail.aspx"
"Смартфон iPhone 15 Pro Max 512 GB, White Titanium"	138079.0	"https://www.wildberries.ru/catalog/181060223/detail.aspx"
"Смартфон iPhone 15 Pro Max 256 ГБ, белый титан"	111086.0	"https://www.wildberries.ru/catalog/219796229/detail.aspx"
"Смартфон iPhone 15 Pro Max 256 ГБ, натуральный титан"	110321.0	"https://www.wildberries.ru/catalog/219796248/detail.aspx"
"Смартфон iPhone 15 Pro Max 256 ГБ, черный титан"	109726.0	"https://www.wildberries.ru/catalog/219796246/detail.aspx"
"Смартфон iPhone 15 Pro Max 256 ГБ, синий титан"	109471.0	"https://www.wildberries.ru/catalog/219796245/detail.aspx"
"Cмартфон iPhone 15 Pro 256 ГБ Синий Blue"	108530.0	"https://www.wildberries.ru/catalog/178297325/detail.aspx"
"iPhone 15 Pro Max 512GB"	151283.0	"https://www.wildberries.ru/catalog/217153047/detail.aspx"
"iPhone 15 Pro Max 512GB"	151283.0	"https://www.wildberries.ru/catalog/217153048/detail.aspx"
"iPhone 15 Pro Max 256Gb"	121125.0	"https://www.wildberries.ru/catalog/189186561/detail.aspx"
"Cмартфон iPhone 15 Pro 1 ТБ Белый White"	147986.0	"https://www.wildberries.ru/catalog/204265520/detail.aspx"
"iPhone 15 Pro Max 1ТБ Black Titanium SIM+eSIM"	166435.0	"https://www.wildberries.ru/catalog/196500439/detail.aspx"
"Смартфон iPhone 15 Pro Max (1nano+eSim), 512Gb, Natural"	135150.0	"https://www.wildberries.ru/catalog/205798101/detail.aspx"
"iPhone 15 Pro Max 256GB"	129597.0	"https://www.wildberries.ru/catalog/218861323/detail.aspx"
"Cмартфон iPhone 15 Pro Max 256 ГБ SIM+eSIM"	114603.0	"https://www.wildberries.ru/catalog/210809257/detail.aspx"
"Смартфон iPhone 15 Pro Max 1ТБ Natural Titanium SIM+eSIM"	166435.0	"https://www.wildberries.ru/catalog/178946335/detail.aspx"
"Смартфон iPhone 15 Pro Max 1 ТБ Черный Black"	156237.0	"https://www.wildberries.ru/catalog/178664929/detail.aspx"
"Cмартфон iPhone 15 Pro 512 ГБ Черный Black"	127600.0	"https://www.wildberries.ru/catalog/185692903/detail.aspx"
"Смартфон iPhone 15 Pro Max 1 ТБ, белый титан"	151886.0	"https://www.wildberries.ru/catalog/219796217/detail.aspx"
"Смартфон iPhone 15 Pro Max 1 ТБ, натуральный титан"	150866.0	"https://www.wildberries.ru/catalog/219796236/detail.aspx"
